Program,Dataset,Engine,Workers,Status,Median_Runtime,Std_Dev,Sample,Plan
doop,xalan,ddlog,64,CMP,256.30,4171426956559544832.00,12,3
doop,xalan,souffle-cmpl,4,CMP,22.46,0.00,2,1
doop,xalan,souffle-cmpl,64,CMP,22.88,0.00,2,1
doop,zxing,ddlog,4,CMP,78.71,4269591609700124672.00,8,4
doop,zxing,ddlog,64,CMP,85.02,18.63,16,4
doop,zxing,souffle-cmpl,4,CMP,23.32,0.00,2,1
doop,zxing,souffle-cmpl,64,CMP,23.30,0.00,2,1
dyck,kernel,ddlog,4,CMP,24.48,1.77,72,4
dyck,kernel,ddlog,64,CMP,23.27,3.67,72,4
dyck,kernel,recstep,4,CMP,30.88,3.95,73,4
dyck,kernel,recstep,64,CMP,13.25,0.31,73,4
dyck,postgresql,ddlog,4,DNF,,,,
dyck,postgresql,ddlog,64,DNF,,,,
dyck,postgresql,recstep,4,TOUT,,,,
dyck,postgresql,recstep,64,TOUT,,,,
reach,arabic,ddlog,4,TOUT,,,,
reach,arabic,ddlog,64,TOUT,,,,
reach,arabic,recstep,4,CMP,335.67,25.88,8,2
reach,arabic,recstep,64,CMP,-2.00,-2.00,8,2
reach,arabic,souffle-cmpl,4,CMP,198.06,1.63,8,2
reach,arabic,souffle-cmpl,64,CMP,197.35,0.22,8,2
reach,livejournal,ddlog,4,CMP,113.12,2.15,10,2
reach,livejournal,ddlog,64,CMP,102.07,2.14,10,2
reach,livejournal,recstep,4,CMP,35.19,0.29,2,2
reach,livejournal,recstep,64,CMP,13.71,0.25,2,2
reach,livejournal,souffle-cmpl,4,CMP,28.43,0.20,8,2
reach,livejournal,souffle-cmpl,64,CMP,28.22,0.00,8,2
reach,orkut,ddlog,4,CMP,187.07,1.06,10,2
reach,orkut,ddlog,64,CMP,164.88,2.06,10,2
reach,orkut,recstep,4,CMP,59.60,3.05,2,2
reach,orkut,recstep,64,CMP,18.36,0.01,2,2
reach,orkut,souffle-cmpl,4,CMP,49.47,0.43,8,2
reach,orkut,souffle-cmpl,64,CMP,49.03,0.02,8,2
reach,twitter,ddlog,4,TOUT,,,,
reach,twitter,ddlog,64,TOUT,,,,
reach,twitter,recstep,64,DNF,,,,
reach,twitter,souffle-cmpl,4,TOUT,,,,
reach,twitter,souffle-cmpl,64,TOUT,,,,
sg,G10K-0.001,ddlog,4,CMP,383.94,17.97,33,3
sg,G10K-0.001,ddlog,64,CMP,128.94,10.63,35,3
sg,G10K-0.001,recstep,4,CMP,688.67,3059046434810332672.00,25,3
sg,G10K-0.001,recstep,64,CMP,158.06,30.86,26,2
sg,G10K-0.001,souffle-cmpl,4,TOUT,,,,
sg,G10K-0.001,souffle-cmpl,64,TOUT,,,,
sg,G20K-0.001,ddlog,4,TOUT,,,,
sg,G20K-0.001,ddlog,64,CMP,583.34,0.00,11,1
sg,G20K-0.001,recstep,4,TOUT,,,,
sg,G20K-0.001,recstep,64,DNF,,,,
sg,G20K-0.001,souffle-cmpl,4,TOUT,,,,
sg,G20K-0.001,souffle-cmpl,64,TOUT,,,,
sg,G40K-0.001,ddlog,4,TOUT,,,,
sg,G40K-0.001,ddlog,64,OOM,,,,
sg,G40K-0.001,recstep,4,DNF,,,,
sg,G40K-0.001,recstep,64,DNF,,,,
sg,G40K-0.001,souffle-cmpl,4,TOUT,,,,
sg,G40K-0.001,souffle-cmpl,64,TOUT,,,,
sssp,livejournal,recstep,1,DNF,,,,
sssp,livejournal,recstep,4,DNF,,,,
sssp,livejournal,recstep,64,DNF,,,,
sssp,test,recstep,1,TOUT,,,,
tc,G10K-0.001,ddlog,4,CMP,239.25,11.69,22,2
tc,G10K-0.001,ddlog,64,CMP,107.82,2.56,22,2
tc,G10K-0.001,recstep,4,CMP,199.44,31.67,24,2
tc,G10K-0.001,recstep,64,CMP,74.13,4.97,25,2
tc,G10K-0.001,souffle-cmpl,4,CMP,167.95,14.34,22,2
tc,G10K-0.001,souffle-cmpl,64,CMP,167.13,0.94,22,2
tc,G20K-0.001,ddlog,4,TOUT,,,,
tc,G20K-0.001,ddlog,64,CMP,473.90,23.45,22,2
tc,G20K-0.001,recstep,4,CMP,-2.00,-2.00,13,2
tc,G20K-0.001,recstep,64,CMP,321.18,16.51,7,2
tc,G20K-0.001,souffle-cmpl,4,TOUT,,,,
tc,G20K-0.001,souffle-cmpl,64,TOUT,,,,
tc,G40K-0.001,ddlog,4,OOM,,,,
tc,G40K-0.001,ddlog,64,OOM,,,,
tc,G40K-0.001,recstep,4,TOUT,,,,
tc,G40K-0.001,recstep,64,DNF,,,,
tc,G40K-0.001,souffle-cmpl,4,TOUT,,,,
tc,G40K-0.001,souffle-cmpl,64,TOUT,,,,
